CVE_ENT,CVE_MUN,NOM_ENT,NOM_MUN,NOMTIPO,COBERTURA,GM,FACTOR_UNO,MUN_AFRO,PTOT,PTOT*,P3MAS,P3MAS*,PIND,PIND*,RESP,RESP*,PHLI,PHLI*,PADI,PADI*,PAFRO,PAFRO*,P3a17T,P3a17T*,P3a17I,P3a17I*,P3a17R,P3a17R*,P3a17HLI,P3a17HLI*,P3a17AI,P3a17AI*,P3a17AF,P3a17AF*,P3a5T,P3a5T*,P3a5I,P3a5I*,P3a5R,P3a5R*,P3a5HLI,P3a5HLI*,P3a5AI,P3a5AI*,P6a11T,P6a11T*,P6a11I,P6a11I*,P6a11R,P6a11R*,P6a11HLI,P6a11HLI*,P6a11AI,P6a11AI*,P12a14T,P12a14T*,P12a14I,P12a14I*,P12a14R,P12a14R*,P12a14HLI,P12a14HLI*,P12a14AI,P12a14AI*,P15a17T,P15a17T*,P15a17I,P15a17I*,P15a17R,P15a17R*,P15a17HLI,P15a17HLI*,P15a17AI,P15a17AI*,PA3a17T,PA3a17T*,PA3a17I,PA3a17I*,PA3a17R,PA3a17R*,PA3a17HLI,PA3a17HLI*,PA3a17AI,PA3a17AI*,PA3a5T,PA3a5T*,PA3a5I,PA3a5I*,PA3a5R,PA3a5R*,PA3a5HLI,PA3a5HLI*,PA3a5AI,PA3a5AI*,PA6a11T,PA6a11T*,PA6a11I,PA6a11I*,PA6a11R,PA6a11R*,PA6a11HLI,PA6a11HLI*,PA6a11AI,PA6a11AI*,PA12a14T,PA12a14T*,PA12a14I,PA12a14I*,PA12a14R,PA12a14R*,PA12a14HLI,PA12a14HLI*,PA12a14AI,PA12a14AI*,PA15a17T,PA15a17T*,PA15a17I,PA15a17I*,PA15a17R,PA15a17R*,PA15a17HLI,PA15a17HLI*,PA15a17AI,PA15a17AI*,PANALF_T,PANALF_T*,PANALF_I,PANALF_I*,PANALF_R,PANALF_R*,PANALF_HLI,PANALF_HLI*,PANALF_AI,PANALF_AI*,PANALF_AF,PANALF_AF*,PEB_20a29_T,PEB_20a29_T*,PEB_20a29_I,PEB_20a29_I*,PEB_20a29_R,PEB_20a29_R*,PEB_20a29_HLI,PEB_20a29_HLI*,PEB_20a29_AI,PEB_20a29_AI*,PEMS_20a29_T,PEMS_20a29_T*,PEMS_20a29_I,PEMS_20a29_I*,PEMS_20a29_R,PEMS_20a29_R*,PEMS_20a29_HLI,PEMS_20a29_HLI*,PEMS_20a29_AI,PEMS_20a29_AI*,P_P,P_PE,P_PM,P_VC,P_VI,P_NP
00,000,Total nacional,Total nacional,,,,,,119530753,,113294340,,12025947,,107504806,,7382785,,25694928,,1381853,,33064767,,3856788,,29207979,,1893020,,7297694,,338938,,6563407,,753293,,5810114,,321853,,1438617,,13224826,,1554864,,11669962,,762459,,2939084,,6813683,,807945,,6005738,,420895,,1522822,,6462851,,740686,,5722165,,387813,,1397171,,28144506,,3182495,,24962011,,1523073,,6122146,,4134339,,477995,,3656344,,206385,,923105,,12921177,,1505558,,11415619,,731358,,2866351,,6358021,,725414,,5632607,,365258,,1393067,,4730969,,473528,,4257441,,220072,,939623,,4749057,,1460294,,3288763,,1351997,,2052217,,71925,,16430825,,1303741,,15127084,,679211,,3048399,,9843242,,644369,,9198873,,288043,,1568118,,53418151,9375581,44042570,32860754,8605022,27752767
01,000,Aguascalientes,Total estatal,,,,,,1312544,,1237034,,9306,,1303238,,3105,*,153395,,653,*,391178,,3312,*,387866,,436,*,42096,,171,*,77477,,726,*,76751,,59,*,8433,,152787,,1461,*,151326,,123,*,17054,,84510,,514,*,83996,,103,*,9083,,76404,,611,*,75793,,151,*,7526,,328184,,2644,,325540,,303,*,34698,,45918,,321,*,45597,,27,*,4621,,150443,,1445,,148998,,121,,16748,,78647,,490,,78157,,79,*,8497,,53176,,388,*,52788,,76,*,4832,,23901,,148,*,23753,,129,*,3129,*,25,*,195790,,1384,*,194406,,534,*,21978,,112853,,910,*,111943,,347,*,10544,,400355,25531,374824,360702,134586,397257
01,001,Aguascalientes,Aguascalientes,Municipio con presencia indígena,Municipio muestreado,Muy bajo,0,0,877190,,830111,,7558,*,869632,,2395,*,104125,,n.a.,,248662,,2700,*,245962,,291,*,27280,,n.a.,,48211,,595,*,47616,,22,*,5355,*,96415,,1211,*,95204,,72,*,11264,,54421,,391,*,54030,,83,*,5950,,49615,,503,*,49112,,114,*,4711,*,209793,,2166,,207627,,216,*,22542,,29014,,255,*,28759,,22,,2880,*,94917,,1211,,93706,,72,,11056,,50642,,372,,50270,,64,*,5639,,35220,,328,*,34892,,58,*,2967,,12981,,89,*,12892,,79,*,1672,*,n.a.,,134980,,1150,*,133830,,446,*,15192,,83746,,804,*,82942,,301,*,7608,,224949,13650,211299,227805,98641,310052
01,002,Aguascalientes,Asientos,Municipio con población indígena dispera,Municipio muestreado,Bajo,0,0,46464,,43572,,30,*,46434,,18,*,1691,,n.a.,,15478,,12,*,15466,,3,*,563,*,n.a.,,3275,,n.a.,,n.a.,,n.a.,,n.a.,,6005,,n.a.,,n.a.,,n.a.,,n.a.,,3279,,n.a.,,n.a.,,n.a.,,n.a.,,2919,,n.a.,,n.a.,,n.a.,,n.a.,,12734,,n.a.,,n.a.,,n.a.,,n.a.,,1857,,n.a.,,n.a.,,n.a.,,n.a.,,5932,,n.a.,,n.a.,,n.a.,,n.a.,,3094,,n.a.,,n.a.,,n.a.,,n.a.,,1851,,n.a.,,n.a.,,n.a.,,n.a.,,1371,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,6651,,n.a.,,n.a.,,n.a.,,n.a.,,2681,,n.a.,,n.a.,,n.a.,,n.a.,,25169,2067,23101,13544,3577,4335
01,003,Aguascalientes,Calvillo,Municipio con población indígena dispera,Municipio muestreado,Bajo,0,0,56048,,52522,,217,*,55831,,69,*,7358,,n.a.,,17192,,54,*,17138,,0,,2106,,n.a.,,3572,,n.a.,,n.a.,,n.a.,,n.a.,,6681,,n.a.,,n.a.,,n.a.,,n.a.,,3591,,n.a.,,n.a.,,n.a.,,n.a.,,3348,,n.a.,,n.a.,,n.a.,,n.a.,,13892,,n.a.,,n.a.,,n.a.,,n.a.,,2151,,n.a.,,n.a.,,n.a.,,n.a.,,6585,,n.a.,,n.a.,,n.a.,,n.a.,,3232,,n.a.,,n.a.,,n.a.,,n.a.,,1924,,n.a.,,n.a.,,n.a.,,n.a.,,1849,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,6944,,n.a.,,n.a.,,n.a.,,n.a.,,2608,,n.a.,,n.a.,,n.a.,,n.a.,,29951,1650,28301,14561,3348,4913
01,004,Aguascalientes,Cosío,Municipio con población indígena dispera,Municipio muestreado,Bajo,0,0,15577,,14587,,17,*,15560,,7,*,2213,,n.a.,,5098,,11,*,5087,,3,*,672,,n.a.,,1025,,n.a.,,n.a.,,n.a.,,n.a.,,2004,,n.a.,,n.a.,,n.a.,,n.a.,,1080,,n.a.,,n.a.,,n.a.,,n.a.,,989,,n.a.,,n.a.,,n.a.,,n.a.,,4298,,n.a.,,n.a.,,n.a.,,n.a.,,597,,n.a.,,n.a.,,n.a.,,n.a.,,1981,,n.a.,,n.a.,,n.a.,,n.a.,,1016,,n.a.,,n.a.,,n.a.,,n.a.,,704,,n.a.,,n.a.,,n.a.,,n.a.,,453,*,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,2276,,n.a.,,n.a.,,n.a.,,n.a.,,1032,,n.a.,,n.a.,,n.a.,,n.a.,,6620,432,6187,5004,1232,2466
01,005,Aguascalientes,Jesús María,Municipio con población indígena dispera,Municipio muestreado,Muy bajo,0,0,120405,,112668,,655,*,119750,,295,*,8679,,n.a.,,39653,,207,*,39446,,67,*,2524,,n.a.,,7924,,n.a.,,n.a.,,n.a.,,n.a.,,15847,,n.a.,,n.a.,,n.a.,,n.a.,,8392,,n.a.,,n.a.,,n.a.,,n.a.,,7490,,n.a.,,n.a.,,n.a.,,n.a.,,33041,,n.a.,,n.a.,,n.a.,,n.a.,,4768,,n.a.,,n.a.,,n.a.,,n.a.,,15540,,n.a.,,n.a.,,n.a.,,n.a.,,7681,,n.a.,,n.a.,,n.a.,,n.a.,,5052,,n.a.,,n.a.,,n.a.,,n.a.,,2612,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,16353,,n.a.,,n.a.,,n.a.,,n.a.,,8969,,n.a.,,n.a.,,n.a.,,n.a.,,31479,2095,29385,47831,8314,38126
01,006,Aguascalientes,Pabellón de Arteaga,Municipio con población indígena dispera,Municipio muestreado,Muy bajo,0,0,46473,,43452,,178,*,46295,,72,*,6232,,n.a.,,15327,,68,*,15259,,23,*,1854,,n.a.,,2993,,n.a.,,n.a.,,n.a.,,n.a.,,6155,,n.a.,,n.a.,,n.a.,,n.a.,,3191,,n.a.,,n.a.,,n.a.,,n.a.,,2988,,n.a.,,n.a.,,n.a.,,n.a.,,12902,,n.a.,,n.a.,,n.a.,,n.a.,,1621,,n.a.,,n.a.,,n.a.,,n.a.,,6072,,n.a.,,n.a.,,n.a.,,n.a.,,3021,,n.a.,,n.a.,,n.a.,,n.a.,,2188,,n.a.,,n.a.,,n.a.,,n.a.,,1056,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,7134,,n.a.,,n.a.,,n.a.,,n.a.,,3753,,n.a.,,n.a.,,n.a.,,n.a.,,15972,1005,14966,13802,4823,11137
01,007,Aguascalientes,Rincón de Romos,Municipio con población indígena dispera,Municipio muestreado,Bajo,0,0,53866,,50295,,257,*,53609,,71,*,6714,,n.a.,,17891,,123,*,17768,,7,*,2031,,n.a.,,3628,,n.a.,,n.a.,,n.a.,,n.a.,,7117,,n.a.,,n.a.,,n.a.,,n.a.,,3867,,n.a.,,n.a.,,n.a.,,n.a.,,3279,,n.a.,,n.a.,,n.a.,,n.a.,,15130,,n.a.,,n.a.,,n.a.,,n.a.,,2065,,n.a.,,n.a.,,n.a.,,n.a.,,7028,,n.a.,,n.a.,,n.a.,,n.a.,,3696,,n.a.,,n.a.,,n.a.,,n.a.,,2341,,n.a.,,n.a.,,n.a.,,n.a.,,1252,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,7864,,n.a.,,n.a.,,n.a.,,n.a.,,4098,,n.a.,,n.a.,,n.a.,,n.a.,,25483,1660,23824,11833,5014,8565
01,008,Aguascalientes,San José de Gracia,Municipio con población indígena dispera,Municipio muestreado,Bajo,0,0,8896,,8248,,33,*,8863,,28,*,1733,,n.a.,,2938,,16,*,2922,,16,*,547,,n.a.,,623,,n.a.,,n.a.,,n.a.,,n.a.,,1165,,n.a.,,n.a.,,n.a.,,n.a.,,615,,n.a.,,n.a.,,n.a.,,n.a.,,535,,n.a.,,n.a.,,n.a.,,n.a.,,2548,,n.a.,,n.a.,,n.a.,,n.a.,,435,,n.a.,,n.a.,,n.a.,,n.a.,,1161,,n.a.,,n.a.,,n.a.,,n.a.,,584,,n.a.,,n.a.,,n.a.,,n.a.,,368,,n.a.,,n.a.,,n.a.,,n.a.,,186,*,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,1244,,n.a.,,n.a.,,n.a.,,n.a.,,564,,n.a.,,n.a.,,n.a.,,n.a.,,5228,464,4764,1945,388,1206
