FOLIO1|FOLIOA|FOLIO|FOLIOK|HEDAD|H3_2|H3_3|H3_4_2|H3_4_3|H3_4_4|H3_5|H3_6|PONDi|Fac_ajuste|PONDH
9|2|2|2|6|1||1|1||1||357.160401|346|178.580201
9|2|2|2|7|1||1|2||1||357.160401|346|178.580201
9|2|2|2|8|1||1|3||1||357.160401|346|178.580201
9|2|2|2|9|1||1|4||1||357.160401|346|178.580201
9|2|2|2|10|1||1|5||1||357.160401|346|178.580201
9|2|2|2|11|1||1|6||1||357.160401|346|178.580201
9|2|2|2|12|1||2|1||1||357.160401|346|178.580201
9|2|2|2|13|1||2|2||1||357.160401|346|178.580201
9|2|2|2|14|1||2|3||1||357.160401|346|178.580201
9|2|2|2|15|1||3|2|2|1||357.160401|346|178.580201
9|2|2|2|16|1||3|4|2|1||357.160401|346|178.580201
9|2|2|2|17|1||3|6|2|1||357.160401|346|178.580201
9|2|2|2|18|1||6|2|2|1||357.160401|346|178.580201
9|2|2|2|19|1||6|4|2|1||357.160401|346|178.580201
9|2|2|2|20|1||6|6|2|1||357.160401|346|178.580201
9|2|2|2|21|1||6|8|2|1||357.160401|346|178.580201
9|2|2|2|22|1||6|10|2|1||357.160401|346|178.580201
9|2|2|2|23|1||8|1|2|2|7|357.160401|346|178.580201
9|2|8|8|6|1||1|1||1||357.160401|284.69|178.580201
9|2|8|8|7|1||1|2||1||357.160401|284.69|178.580201
9|2|8|8|8|1||1|3||1||357.160401|284.69|178.580201
9|2|8|8|9|1||1|4||1||357.160401|284.69|178.580201
9|2|8|8|10|1||1|5||1||357.160401|284.69|178.580201
9|2|8|8|11|1||1|6||1||357.160401|284.69|178.580201
9|2|8|8|12|1||2|1||1||357.160401|284.69|178.580201
9|2|8|8|13|1||2|2||1||357.160401|284.69|178.580201
9|2|8|8|14|1||2|3||1||357.160401|284.69|178.580201
9|2|8|8|15|1||3|2|2|1||357.160401|284.69|178.580201
9|2|8|8|16|1||3|4|2|1||357.160401|284.69|178.580201
9|2|8|8|17|1||3|6|2|2|2|357.160401|284.69|178.580201
9|2|8|8|18|1||3|6|2|2|2|357.160401|284.69|178.580201
9|2|8|8|19|1||6|2|2|2|7|357.160401|284.69|178.580201
9|2|16|8|6|1||1|1||1||105.642255|79.67|105.642255
9|2|16|8|7|1||1|2||1||105.642255|79.67|105.642255
9|2|16|8|8|1||1|3||1||105.642255|79.67|105.642255
